version,transition_mode,mixer_method,method,mean_best_P_valid,median_best_P_valid,min_best_P_valid,max_best_P_valid,wins_best_by_case,cases
V4,cost_phase,linear_valid,M3 (theory),0.5433316465662051,0.5672371962367533,0.2203724789059909,0.8055071660907984,0,10
V5,descent,linear_valid,M2 (eigen),0.5147723756516115,0.5368608723765327,0.2250218731563856,0.8414659389549225,0,10
V5,oriented_valid,linear_valid,M2 (eigen),0.5094626492555866,0.49991230994591407,0.1500332700256371,0.8180044858225206,0,10
V5,valid_boundary,rx_all,Experimental,0.5050909705266947,0.5206804919158093,0.1548078896091956,0.824086054585994,0,10
V4,cost_phase,local_geometric,M3 (theory),0.5042984355212725,0.5137767601069465,0.2668401098152571,0.635507637428856,0,10
V5,valid_boundary,local_geometric,M2 (eigen),0.4640496215391966,0.3850373676087187,0.1641581229297805,0.8680974518212182,0,10
V5,valid_boundary,linear_valid,M2 (eigen),0.448236046191529,0.42613354061930786,0.1945796360768975,0.7135207738695392,0,10
V5,delta_cost,rx_all,M2 (eigen),0.4190807053467857,0.41195242650640773,0.1079563244946348,0.6992303528083723,0,10
V5,oriented_valid,local_geometric,M4 (grad),0.41177388195838976,0.4272638418645428,0.0398992543341146,0.8215183487768033,0,10
V5,oriented_valid,rx_all,M4 (grad),0.41081276923697374,0.4719941462401248,0.0802206713151956,0.8285147184588102,0,10
V5,descent,local_geometric,M3 (theory),0.4047325369701241,0.45886973864900926,0.0568916494400134,0.7037287784239776,0,10
V4,cost_phase,linear_valid,M4 (grad),0.40462440446887965,0.3898688418837186,0.0476581491445743,0.7147164868789253,0,10
V5,delta_cost,linear_valid,M2 (eigen),0.3990954486911164,0.38695189124328644,0.1446594412040307,0.6451981168883058,0,10
V5,valid_boundary,linear_valid,M4 (grad),0.39563522212328917,0.3622241968148902,0.1048410732937622,0.822889508040563,0,10
V5,oriented_valid,linear_valid,M4 (grad),0.39026348735699523,0.34318439502807674,0.0756710750075838,0.890121075035172,0,10
V5,descent,linear_valid,M3 (theory),0.39016037526760355,0.3699423058347179,0.0568916494400134,0.746891778177505,0,10
