case,transition_mode,mixer_method,method,theta,theta_over_pi,beta,beta_over_pi,r,P_valid,P_uniform,delta_theta_pi_vs_exp,delta_beta_pi_vs_exp,delta_r_vs_exp,delta_P_vs_exp,W,valid_windows
02_1d_main_reference,cost_phase,local_geometric,M5 (hybrid),0.2945243112740431,0.09375,0.3599741582238304,0.11458333333333331,33,0.9299103428956494,0.2857142857142857,0.052083333333333336,0.05208333333333331,5,0.09254284140675084,7,2
02_1d_main_reference,cost_phase,local_geometric,Experimental,0.1308996938995747,0.041666666666666664,0.19634954084936207,0.0625,28,0.8373675014888986,0.2857142857142857,0.0,0.0,0,0.0,7,2
02_1d_main_reference,cost_phase,linear_valid,M1 (sweep),0.39269908169872414,0.125,0.4581489286485115,0.14583333333333331,25,0.8938692459644796,0.2857142857142857,0.09166666666666667,0.07916666666666666,-3,0.08405228366491968,7,2
02_1d_main_reference,cost_phase,linear_valid,M2 (eigen),1.0471975511965976,0.3333333333333333,0.6,0.1909859317102744,28,0.6820270861853173,0.2857142857142857,0.3,0.12431926504360775,0,-0.12778987611424264,7,2
02_1d_main_reference,cost_phase,linear_valid,M3 (theory),1.5707963267948966,0.5,0.7853981633974483,0.25,1,0.5434826579025785,0.2857142857142857,0.4666666666666667,0.18333333333333335,-27,-0.26633430439698136,7,2
02_1d_main_reference,cost_phase,linear_valid,M4 (grad),0.7788933774551572,0.2479294623270594,1.570423490609496,0.49988132255625994,28,0.2840027008697079,0.2857142857142857,0.21459612899372604,0.4332146558895933,0,-0.525814261429852,7,2
02_1d_main_reference,cost_phase,linear_valid,M5 (hybrid),0.2945243112740431,0.09375,0.3599741582238304,0.11458333333333331,33,0.9299103428956494,0.2857142857142857,0.060416666666666674,0.04791666666666665,5,0.12009338059608954,7,2
02_1d_main_reference,cost_phase,linear_valid,Experimental,0.10471975511965977,0.03333333333333333,0.20943951023931953,0.06666666666666667,28,0.8098169622995599,0.2857142857142857,0.0,0.0,0,0.0,7,2
02_1d_main_reference,cost_phase,rx_all,M1 (sweep),0.5235987755982988,0.16666666666666666,0.32724923474893675,0.10416666666666666,18,0.7789873636654392,0.2857142857142857,-0.16666666666666666,-0.08681926504360775,8,0.09792627468779846,7,2
02_1d_main_reference,cost_phase,rx_all,M2 (eigen),1.0471975511965976,0.3333333333333333,0.6,0.1909859317102744,10,0.6810610889776426,0.2857142857142857,0.0,0.0,0,1.887379141862766e-15,7,2
