version,case,transition_mode,description,N,M,W,valid_windows,boundary_windows,near_valid_windows,P_uniform,theta_default,beta_default,r_star_default,P_star_default,theta_opt_heatmap,beta_opt_heatmap,P_opt_heatmap,P_boundary_at_optimum,P_near_valid_at_optimum,theta_opt_scan_default_beta,P_opt_scan_default_beta,mixer_method
V5,06_2d_tiny_corner_block,descent,Small 2D case with a single valid 2x2 region.,"[3, 3]","[2, 2]",4,1,3,4,0.25,1.5707963267948966,0.28,38,0.6018145121202859,0.9424777960769379,0.47123889803846897,0.8639120097302928,0.9558018595811081,1.000000000000008,0.8377580409572781,0.7875050775104916,local_geometric
V5,06_2d_tiny_corner_block,valid_boundary,Small 2D case with a single valid 2x2 region.,"[3, 3]","[2, 2]",4,1,3,4,0.25,1.5707963267948966,0.28,57,0.27274733662454914,1.8849555921538759,0.7853981633974483,0.31113908597889467,0.9410265014191388,1.0000000000000022,4.764748857944519,0.36024311270528625,local_geometric
V5,06_2d_tiny_corner_block,oriented_valid,Small 2D case with a single valid 2x2 region.,"[3, 3]","[2, 2]",4,1,3,4,0.25,1.5707963267948966,0.28,33,0.484416648755515,0.3141592653589793,0.20943951023931953,0.8432040545659614,0.9543554830974826,1.0000000000000056,0.7330382858376183,0.7532289873502919,local_geometric
V5,07_2d_small_diagonal_block,delta_cost,4x4 grid with diagonal obstacles and one clear lower-left solution.,"[4, 4]","[2, 2]",9,1,3,8,0.1111111111111111,1.5707963267948966,0.24,16,0.12854319087646335,3.036872898470133,0.15707963267948966,0.3266229012348251,0.44926812472123484,0.9516028859180998,5.497787143782138,0.2537849000541865,local_geometric
V5,07_2d_small_diagonal_block,descent,4x4 grid with diagonal obstacles and one clear lower-left solution.,"[4, 4]","[2, 2]",9,1,3,8,0.1111111111111111,1.5707963267948966,0.24,45,0.19355413215924452,1.2566370614359172,1.2042771838760873,0.5100769655553824,0.56880213717136,0.9054053718567687,0.3141592653589793,0.40714111688211996,local_geometric
V5,07_2d_small_diagonal_block,valid_boundary,4x4 grid with diagonal obstacles and one clear lower-left solution.,"[4, 4]","[2, 2]",9,1,3,8,0.1111111111111111,1.5707963267948966,0.24,46,0.1641581229297817,3.036872898470133,1.361356816555577,0.3485359303906882,0.4131448330956019,0.9092080768972686,5.445427266222308,0.34939955279529594,local_geometric
V5,07_2d_small_diagonal_block,oriented_valid,4x4 grid with diagonal obstacles and one clear lower-left solution.,"[4, 4]","[2, 2]",9,1,3,8,0.1111111111111111,1.5707963267948966,0.24,8,0.24122839357321085,0.8377580409572781,0.36651914291880916,0.6717817328088851,0.8139830043622751,0.9746981580486739,0.6806784082777885,0.5890445398113848,local_geometric
V5,08_2d_medium_clustered_obstacles,delta_cost,5x5 grid with two compact occupied clusters.,"[5, 5]","[2, 2]",16,9,11,12,0.5625,1.0471975511965976,0.22,35,0.5992031165910914,0.0,0.7330382858376183,0.8823710279805349,0.617114353789393,0.9485877616658203,6.021385919380436,0.8629885270016118,local_geometric
V5,08_2d_medium_clustered_obstacles,descent,5x5 grid with two compact occupied clusters.,"[5, 5]","[2, 2]",16,9,11,12,0.5625,1.0471975511965976,0.22,45,0.7716527563978393,1.361356816555577,0.41887902047863906,0.8786788278484123,0.7820602030914232,0.9320880782466425,0.890117918517108,0.7884559375260423,local_geometric
V5,08_2d_medium_clustered_obstacles,valid_boundary,5x5 grid with two compact occupied clusters.,"[5, 5]","[2, 2]",16,9,11,12,0.5625,1.0471975511965976,0.22,37,0.7651522222205007,0.41887902047863906,0.5759586531581287,0.8719850429477682,0.6533765053474135,0.9361771694052979,0.8377580409572781,0.7920316936930856,local_geometric
V5,08_2d_medium_clustered_obstacles,oriented_valid,5x5 grid with two compact occupied clusters.,"[5, 5]","[2, 2]",16,9,11,12,0.5625,1.0471975511965976,0.22,3,0.7213860226642145,0.3141592653589793,0.20943951023931953,0.7891496893215735,0.7322435178448998,0.8221330529476634,0.2617993877991494,0.788742609169473,local_geometric
V5,09_2d_rectangular_window,delta_cost,6x6 grid with a non-square 3x2 window.,"[6, 6]","[3, 2]",20,8,13,15,0.4,1.0471975511965976,0.18,8,0.40269385874952024,0.20943951023931953,0.890117918517108,0.6204961231661258,0.8136796386519642,0.8907070304721797,5.969026041820607,0.7050743603656415,local_geometric
V5,09_2d_rectangular_window,descent,6x6 grid with a non-square 3x2 window.,"[6, 6]","[3, 2]",20,8,13,15,0.4,1.0471975511965976,0.18,18,0.6389817618232715,0.20943951023931953,0.15707963267948966,0.8197847269134557,0.8289151353685283,0.8892083135371206,0.15707963267948966,0.7199881547646321,local_geometric
V5,09_2d_rectangular_window,valid_boundary,6x6 grid with a non-square 3x2 window.,"[6, 6]","[3, 2]",20,8,13,15,0.4,1.0471975511965976,0.18,44,0.5711888050789526,2.5132741228718345,1.0995574287564276,0.7172169412166058,0.3230094251430315,0.9663308075199613,0.890117918517108,0.5992933680911547,local_geometric
V5,09_2d_rectangular_window,oriented_valid,6x6 grid with a non-square 3x2 window.,"[6, 6]","[3, 2]",20,8,13,15,0.4,1.0471975511965976,0.18,22,0.5631391502132521,0.10471975511965977,0.05235987755982988,0.8855256092624335,0.834986827696118,0.9577007667245772,0.36651914291880916,0.8245334416725694,local_geometric
V5,10_3d_small_clustered_obstacles,delta_cost,Small 3D grid with two compact occupied clusters.,"[4, 4, 3]","[2, 2, 2]",18,12,12,16,0.6666666666666666,0.7853981633974483,0.16,51,0.5930694102518991,2.5132741228718345,1.1519173063162573,0.8808592916853183,0.5534660356341039,0.9832946163313072,6.126105674500097,0.9452941075846464,local_geometric
V5,10_3d_small_clustered_obstacles,descent,Small 3D grid with two compact occupied clusters.,"[4, 4, 3]","[2, 2, 2]",18,12,12,16,0.6666666666666666,0.7853981633974483,0.16,46,0.9065027065048452,0.3141592653589793,0.10471975511965977,0.9612145985032564,0.8165913414480144,0.9731869144195137,0.6283185307179586,0.9414378528828922,local_geometric
V5,10_3d_small_clustered_obstacles,valid_boundary,Small 3D grid with two compact occupied clusters.,"[4, 4, 3]","[2, 2, 2]",18,12,12,16,0.6666666666666666,0.7853981633974483,0.16,11,0.8680974518212422,2.3038346126325147,0.6283185307179586,0.923333777119036,0.5205565531069329,0.9744828969076641,0.7330382858376183,0.8787034769427109,local_geometric
V5,10_3d_small_clustered_obstacles,oriented_valid,Small 3D grid with two compact occupied clusters.,"[4, 4, 3]","[2, 2, 2]",18,12,12,16,0.6666666666666666,0.7853981633974483,0.16,27,0.914978476974254,0.6283185307179586,0.2617993877991494,0.9542656522920218,0.7515635171686061,0.9740076309941682,0.5235987755982988,0.9335226297805257,local_geometric
