transition_mode,mixer_method,method,mean_P_valid,median_P_valid,std_P_valid,min_P_valid,max_P_valid,wins_best_by_case,cases
oriented_valid,local_geometric,Experimental,0.8181139658884377,0.8534973005309119,0.10226695484070834,0.6127723481522416,0.9542656522920218,0,10
oriented_valid,linear_valid,M1 (sweep),0.8500809096064899,0.871106418655351,0.10492171945683246,0.5905179419429676,0.9698695689512119,0,10
oriented_valid,linear_valid,M2 (eigen),0.5094626492555866,0.49991230994591407,0.2034959094740309,0.15003327002563716,0.8180044858225206,0,10
oriented_valid,linear_valid,M3 (theory),0.300207959201588,0.33015056779779023,0.14725045615261084,0.07658506875375004,0.5491501911978246,0,10
oriented_valid,linear_valid,M4 (grad),0.39026348735699523,0.34318439502807674,0.22676544058069797,0.07567107500758383,0.890121075035172,0,10
oriented_valid,linear_valid,M5 (hybrid),0.9002797174783312,0.9090467059090681,0.05522052720434279,0.7792699399955559,0.9777160320039012,0,10
oriented_valid,linear_valid,Experimental,0.7704940554766597,0.7736942218614427,0.12115469218607498,0.5884508292320404,0.9674159231164327,0,10
oriented_valid,rx_all,M1 (sweep),0.7856524497490865,0.8323016633078613,0.1291696174652813,0.5053876548783928,0.97662740945816,0,10
oriented_valid,rx_all,M2 (eigen),0.6552768865924771,0.6856766769237481,0.17575846481921384,0.32758426461774903,0.8624722145298213,0,10
oriented_valid,rx_all,M3 (theory),0.24301385105870468,0.20618026577888923,0.17264253814108554,0.01854444444444444,0.5755572438994172,0,10
oriented_valid,rx_all,M4 (grad),0.41081276923697374,0.47199414624012487,0.22375212118460303,0.08022067131519567,0.8285147184588102,0,10
oriented_valid,rx_all,M5 (hybrid),0.8057397617722252,0.8416922997198266,0.1147082452417963,0.5440549670336661,0.97662740945816,0,10
oriented_valid,rx_all,Experimental,0.746491573746842,0.7997668056498952,0.13009966234534553,0.488656435379189,0.9157550016051352,0,10
